Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.042,5.097704926012461,34.435054030373834,6.963566004672897,0.43910630841121495,7.890442464953271
3,00:00:00.083,1.4551937305295948,8.415595794392523,1.2781834112149533,0.3574036214953271,2.7299941588785046
4,00:00:00.125,97.85150165498442,139.13660922897196,110.06845064252336,3.7387558411214954,179.7472984813084
5,00:00:00.167,10.250717971183802,85.81301109813084,5.149021612149533,2.1534754672897196,23.44965683411215
6,00:00:00.209,5.77135660046729,131.6891793224299,2.240982768691589,1.7823452102803738,13.290741822429906
7,00:00:00.250,9.314410533489097,91.86404789719626,5.296619450934579,1.9824766355140186,20.664135514018692
8,00:00:00.292,7.981904692367601,93.62350321261682,3.91727511682243,1.9448744158878504,18.083564544392523
9,00:00:00.334,4.034194898753895,39.08038843457944,1.9324620327102804,2.385660046728972,7.78446261682243
10,00:00:00.375,4.842508761682243,41.472875292056074,3.359776577102804,1.7902307242990654,9.37751898364486
11,00:00:00.417,4.694606697819315,25.488828855140188,3.3511244158878504,1.13211886682243,9.600576810747663
12,00:00:00.459,8.40005597741433,44.17256863317757,5.433849299065421,4.599773656542056,15.166544976635514
13,00:00:00.500,3.468457943925234,30.04107038551402,2.3452832943925235,1.561952394859813,6.498138142523365
14,00:00:00.542,5.739705023364486,27.11795414719626,1.511390186915888,3.0597254672897196,12.64799941588785
15,00:00:00.584,2.0694363317757007,17.39905811915888,1.572466413551402,0.8672605140186916,3.768582067757009
16,00:00:00.626,2.148729556074766,17.3059652453271,1.8796728971962617,0.7527745327102804,3.813741238317757
17,00:00:00.667,1.3790766160436136,12.735105140186915,1.8010733060747663,0.5577905957943925,1.7783659462616823
18,00:00:00.709,1.5186550817757007,8.862441588785046,2.646283586448598,0.3984009929906542,1.5112806658878504
19,00:00:00.751,1.2910095404984423,10.910484813084112,1.6103606892523366,0.5505622079439252,1.7121057242990654
20,00:00:00.792,1.4599153037383177,9.57925671728972,2.670086156542056,0.36357330607476634,1.3460864485981308
21,00:00:00.834,1.9322186526479752,17.715573890186917,2.1692830023364484,0.6575277453271028,2.969845210280374
22,00:00:00.876,1.566515771028037,11.636609228971963,2.401796144859813,0.42209404205607476,1.8756571261682242
23,00:00:00.918,1.6002847546728975,9.793370327102803,1.8660557827102804,0.5742552570093458,2.3605432242990654
24,00:00:00.959,1.9242966316199377,13.13540449766355,2.8116238317757007,0.45619158878504673,2.5050744742990654
25,00:00:01.001,1.115264797507788,8.77865800233645,1.4042056074766356,0.4331556658878505,1.5084331191588785
26,00:00:01.043,0.5132398753894081,6.93541910046729,0.7029059579439252,0.14818195093457945,0.6886317172897196
27,00:00:01.084,0.4262315031152648,6.62821261682243,0.5102584696261683,0.13639018691588786,0.6320458528037384
28,00:00:01.126,0.4833406347352025,8.303884345794392,0.515990070093458,0.2199182242990654,0.7141136098130841
29,00:00:01.168,1.1008810358255452,13.619487441588785,0.7793881425233645,0.36141939252336447,2.1618355724299065
30,00:00:01.210,1.3538502725856698,16.74740800233645,0.7184944509345794,0.5688157126168224,2.7742406542056073
31,00:00:01.251,1.9245035046728975,16.93359375,2.4596232476635516,0.5856454439252337,2.7282418224299065
32,00:00:01.293,1.67508761682243,16.049211448598133,1.6329220210280373,0.731344918224299,2.6609959112149535
33,00:00:01.335,1.8779448987538945,12.251022196261681,2.336996203271028,0.6662894275700935,2.6305490654205608
34,00:00:01.376,3.014797507788162,16.756717289719628,3.761061623831776,0.8207140771028038,4.462616822429907
35,00:00:01.418,1.670913648753894,15.341705607476635,1.9464077102803738,0.7321845794392523,2.334148656542056
36,00:00:01.460,2.6349299065420557,16.94290303738318,2.7491968457943927,0.891866238317757,4.263726635514018
37,00:00:01.501,2.8644373052959504,20.30355578271028,3.0343896028037385,0.8966121495327103,4.6623101635514015
38,00:00:01.543,1.5598106503115263,11.739011390186915,1.6036433995327102,0.6745035046728972,2.401285046728972
39,00:00:01.585,2.2310893691588785,11.14321699766355,2.0526066004672896,0.5509272780373832,4.089734228971962
40,00:00:01.627,1.0058654595015577,8.77865800233645,0.9796655957943925,0.3898218457943925,1.648108936915888
41,00:00:01.668,1.9576031931464175,13.228497371495328,1.5825058411214954,0.5700204439252337,3.7202832943925235
42,00:00:01.710,1.919246495327103,9.495473130841122,1.80790011682243,0.5350467289719626,3.4147926401869158
43,00:00:01.752,1.6934141355140186,9.830607476635514,1.8243647780373833,0.48930344626168226,2.766574182242991
44,00:00:01.793,1.9507155373831777,14.52248831775701,1.9259272780373833,0.5544684579439252,3.371750876168224
45,00:00:01.835,1.6107866043613708,12.018290011682243,1.6486565420560748,0.449401285046729,2.7343019859813085
46,00:00:01.877,1.5977657710280375,12.092764310747663,1.51171875,0.42826372663551404,2.853314836448598
47,00:00:01.919,1.3241579049844237,11.22700058411215,1.2830388434579438,0.4161433995327103,2.273291471962617
48,00:00:01.960,1.2490508177570094,9.821298189252337,0.9993063668224299,0.42140040887850466,2.3264456775700935
49,00:00:02.002,1.0820190809968848,12.288259345794392,0.6360251168224299,0.42147342289719625,2.188558703271028
50,00:00:02.044,1.083284657320872,9.811988901869158,0.7324766355140186,0.43005257009345793,2.08732476635514
51,00:00:02.085,0.8907588590342678,7.363646320093458,0.4922970210280374,0.3841267523364486,1.7958528037383177
52,00:00:02.127,0.8514408099688473,4.803592289719626,0.5699109228971962,0.3783586448598131,1.6060528621495327
53,00:00:02.169,0.8482281931464174,4.915303738317757,0.5551255841121495,0.39475029205607476,1.594808703271028
54,00:00:02.211,0.5742430880062305,4.347437207943925,0.44180782710280375,0.344991238317757,0.9359301985981309
55,00:00:02.252,0.4495716510903427,1.9828782126168225,0.27380257009345793,0.3403548481308411,0.7345575350467289
56,00:00:02.294,0.6114315615264797,2.820714077102804,0.48258615654205606,0.4389602803738318,0.9127482476635514
57,00:00:02.336,0.5323208722741434,2.420414719626168,0.43563814252336447,0.4232257593457944,0.7380987149532711
58,00:00:02.377,0.49486468068535827,4.803592289719626,0.4113609813084112,0.3262266355140187,0.7470064252336449
59,00:00:02.419,0.5227803738317757,4.431220794392523,0.5153694509345794,0.31812207943925236,0.7348495911214953
60,00:00:02.461,0.36324474299065423,3.7702613901869158,0.3033367406542056,0.2685820677570093,0.5178154205607477
61,00:00:02.502,0.7219991238317757,7.121604848130841,0.649861273364486,0.4256717289719626,1.0904643691588785
62,00:00:02.544,0.5121568341121495,6.078964661214953,0.4320239485981308,0.2944290303738318,0.810017523364486
63,00:00:02.586,0.4281055295950156,4.63602511682243,0.33546290887850466,0.29910192757009346,0.6497517523364486
64,00:00:02.628,0.5535314447040499,5.902088200934579,0.4370619158878505,0.36255110981308414,0.860981308411215
65,00:00:02.669,0.6993404400311526,5.027015186915888,0.7293370327102804,0.4231892523364486,0.9454950350467289
66,00:00:02.711,0.46344431464174457,3.3420341705607477,0.40438814252336447,0.3375803154205608,0.6483644859813084
67,00:00:02.753,0.7491360007788163,7.568450642523365,0.6480359228971962,0.45290595794392524,1.1464661214953271
68,00:00:02.794,0.659742503894081,6.255841121495327,0.5986419392523364,0.4305636682242991,0.9500219042056075
69,00:00:02.836,0.5415328076323987,4.63602511682243,0.44319509345794394,0.3989851051401869,0.7824182242990654
70,00:00:02.878,0.8297678154205608,10.007483936915888,0.724445093457944,0.5230359228971962,1.2418224299065421
71,00:00:02.920,0.8808776285046728,7.773254964953271,0.8230870327102804,0.5197502920560748,1.2997955607476634
72,00:00:02.961,0.6458698403426791,8.173554322429906,0.5383688668224299,0.4681293808411215,0.931111273364486
73,00:00:03.003,0.8034219236760124,10.798773364485982,0.6704877336448598,0.5257739485981309,1.2140040887850467
74,00:00:03.045,0.7644932827102804,9.635112441588785,0.6658148364485982,0.5139821845794392,1.1136828271028036
75,00:00:03.086,0.6060406931464174,8.303884345794392,0.4610105140186916,0.4387777453271028,0.918333820093458
76,00:00:03.128,0.9655130451713396,8.424905081775702,0.931293808411215,0.5211740654205608,1.444071261682243
77,00:00:03.170,0.7292761876947041,5.2038916471962615,0.6450788551401869,0.4661214953271028,1.0766282126168225
78,00:00:03.212,0.6776674454828661,5.380768107476635,0.6370473130841121,0.4228241822429907,0.9731308411214953
79,00:00:03.253,1.0421290887850467,10.34261828271028,0.987040011682243,0.5447210864485982,1.594626168224299
80,00:00:03.295,0.9255622079439253,10.640515478971963,0.8135587032710281,0.5173773364485982,1.4457505841121496
81,00:00:03.337,0.83295609423676,6.5444290303738315,0.8122809579439252,0.4545122663551402,1.232075058411215
82,00:00:03.378,1.1248783099688475,9.9609375,1.019859813084112,0.618611273364486,1.7361638434579438
83,00:00:03.420,0.9847644080996886,6.293078271028038,0.9411141939252337,0.5529351635514018,1.46024386682243
84,00:00:03.462,0.9566053348909658,7.5405227803738315,1.036397488317757,0.5240216121495327,1.3093969042056075
85,00:00:03.503,1.243380062305296,7.363646320093458,1.122152453271028,0.7223276869158879,1.885660046728972
86,00:00:03.545,1.1285655179127725,8.666946553738319,1.0825058411214954,0.6746860397196262,1.6285046728971964
87,00:00:03.587,1.049527842679128,5.315603095794392,0.9291398948598131,0.660521320093458,1.558922313084112
88,00:00:03.629,64.01502871884736,32.861784462616825,18.42092581775701,27.804797021028037,145.81936331775702
89,00:00:03.670,40.30213200934579,14.43870473130841,44.63898218457944,42.93432389018692,33.33308995327103
90,00:00:03.712,59.685297410436135,5.566953855140187,104.3034097546729,54.741092289719624,20.01139018691589
91,00:00:03.754,43.14197575934579,22.388836156542055,56.56673481308411,54.30027015186916,18.55892231308411
92,00:00:03.795,42.72939787772586,7.019202686915888,70.34002628504673,37.13441880841121,20.713748539719628
93,00:00:03.837,27.894579926012458,2.4762704439252334,36.90975467289719,17.93454293224299,28.839442172897197
94,00:00:03.879,28.78548481308411,1.9828782126168225,18.979665595794394,46.0251898364486,21.351599007009344
95,00:00:03.921,35.93670901479751,4.030921436915888,28.691807827102803,56.6462835864486,22.47203563084112
96,00:00:03.962,34.49879526869159,4.263653621495327,40.663587908878505,22.701336156542055,40.1314617406542
97,00:00:04.004,47.135258469626166,5.948634637850467,101.85335134345794,22.007520443925234,17.544903621495326
98,00:00:04.046,28.744365751557627,162.82874561915887,11.121677862149532,37.18983644859813,37.92158294392523
99,00:00:04.087,0.9323038356697819,2.68107476635514,0.40577540887850466,1.2268545560747663,1.1642815420560748
100,00:00:04.129,1.0076421339563864,3.9936842873831777,0.3859155957943925,1.3281980140186915,1.3088127920560748
101,00:00:04.171,1.2036482671339563,5.5110981308411215,0.373941296728972,1.5849883177570094,1.652015186915888
102,00:00:04.213,1.6467460085669778,7.978059287383178,0.47740216121495327,2.2583966121495327,2.2044392523364484
103,00:00:04.254,2.3300842095015573,9.169648072429906,0.6022561331775701,3.2789135514018692,3.1090829439252334
104,00:00:04.296,2.5875194704049846,8.573853679906541,0.680563668224299,3.632629964953271,3.449364778037383
105,00:00:04.338,2.4757228387850465,7.019202686915888,0.6947648948598131,3.450277453271028,3.2821261682242993
106,00:00:04.379,2.1601805880062304,7.1960791471962615,0.6106527453271028,2.9703928154205608,2.899496203271028
107,00:00:04.421,1.709976148753894,4.878066588785047,0.5037967289719626,2.3042129088785046,2.321918808411215
108,00:00:04.463,1.403305101246106,7.0564398364485985,0.40004380841121495,1.8773729556074767,1.9324985397196262
109,00:00:04.504,1.1112003504672898,4.878066588785047,0.34137704439252337,1.4548043224299065,1.5374196845794392
110,00:00:04.546,0.8359496690031151,5.166654497663552,0.3025335864485981,1.0790741822429906,1.126241238317757
111,00:00:04.588,0.7734253309968847,2.6066004672897196,0.3410484813084112,0.9199036214953271,1.059323890186916
112,00:00:04.630,0.49645882009345793,2.98828125,0.19823306074766356,0.6176255841121495,0.6735178154205608
113,00:00:04.671,5.273778232087228,12.595465829439252,5.060966705607477,5.295451226635514,5.4649167640186915
114,00:00:04.713,5.30651285046729,9.178957359813085,5.700496495327103,5.260148948598131,4.958893107476635
115,00:00:04.755,8.971013434579438,13.610178154205608,16.877044392523363,5.596049941588785,4.4399459696261685
116,00:00:04.796,21.08020589953271,25.28402453271028,52.815238025700936,5.606417932242991,4.818961740654205
117,00:00:04.838,15.615021417445481,19.130585572429908,34.732586156542055,5.76770589953271,6.344772196261682
118,00:00:04.880,13.577212324766355,28.365398656542055,27.1514675817757,6.124160338785047,7.456009053738318
119,00:00:04.922,11.67328660436137,37.96327394859813,20.925635221962615,6.213164427570093,7.8810601635514015
120,00:00:04.963,10.397378796728972,36.213127920560744,15.937573014018692,6.546546436915888,8.708016939252337
121,00:00:05.005,8.17696164330218,39.40621349299065,8.77847546728972,6.68932535046729,9.063084112149532
122,00:00:05.047,7.639967873831775,23.031176985981308,7.26449328271028,6.889018691588785,8.766391647196262
123,00:00:05.088,7.462446456386293,16.756717289719628,5.402489778037383,7.144348714953271,9.840500876168225
124,00:00:05.130,7.1062353971962615,13.042311623831775,3.870436623831776,7.336923189252336,10.111346378504672
125,00:00:05.172,6.84830120716511,13.67534316588785,2.7966559579439254,7.033586448598131,10.71466121495327
126,00:00:05.214,3.314459209501558,13.498466705607477,1.45381863317757,4.193596670560748,4.295962324766355
127,00:00:05.255,3.3138264213395643,11.236309871495328,1.4039865654205608,4.21163113317757,4.325861565420561
128,00:00:05.297,3.3016209112149535,13.116785922897197,1.3335645443925233,4.217764310747664,4.353533878504673
129,00:00:05.339,3.183764116043614,11.99036214953271,1.3667859228971964,4.02916910046729,4.155337324766355
130,00:00:05.380,3.1079025506230527,14.541106892523365,1.2184944509345794,3.988938376168224,4.116274824766355
131,00:00:05.422,3.1071602414330215,11.68315566588785,1.169209988317757,3.987368574766355,4.164902161214953
132,00:00:05.464,3.0582895249221185,12.074145735981308,1.2870911214953271,3.8878504672897196,3.9999269859813085
133,00:00:05.505,3.0361906152647973,13.684652453271028,1.2006060163551402,3.8783221378504673,4.029643691588785
134,00:00:05.547,3.009625681464174,17.09185163551402,1.2662456191588785,3.821663259345794,3.9409681658878504
135,00:00:05.589,2.8517206970404985,16.617077978971963,1.107221086448598,3.677205023364486,3.770735981308411
136,00:00:05.631,3.0305928738317753,14.475941880841122,1.2547459112149533,3.811258761682243,4.025773948598131
137,00:00:05.672,2.8629770249221185,12.921290887850468,1.1584769275700935,3.669319509345794,3.7611346378504673
138,00:00:05.714,2.6586472936137073,13.247115946261681,1.0456702686915889,3.4158878504672896,3.514383761682243
139,00:00:05.756,2.722437207943925,13.321590245327103,1.0384418808411215,3.4849591121495327,3.6439106308411215
140,00:00:05.797,2.5164403232087227,10.836010514018692,0.9357476635514018,3.2752993574766354,3.3382739485981308
141,00:00:05.839,2.5347303348909658,13.721889602803738,0.9354556074766355,3.2974591121495327,3.371276285046729
142,00:00:05.881,2.5909511292834893,13.098167348130842,0.9601708528037384,3.321371203271028,3.4913113317757007
143,00:00:05.923,2.4028670171339566,10.165741822429906,0.8367771612149533,3.1446407710280373,3.2271831191588785
144,00:00:05.964,3.564483547507788,11.124598422897197,1.8885075934579438,4.265844042056075,4.539099007009346
145,00:00:06.006,3.974724980529595,12.195166471962617,2.777854848130841,4.311258761682243,4.835061331775701
146,00:00:06.048,4.678969528816199,15.034499123831775,4.024277161214953,4.87708089953271,5.135550525700935
147,00:00:06.089,5.671692464953271,18.106563960280372,6.073306074766355,5.43038113317757,5.511390186915888
148,00:00:06.131,6.181232963395639,18.227584696261683,7.52551839953271,5.550927278037383,5.467253212616822
